Municipality,Establishment Count,VGT Count,Amount Played,Amount Won,Net Wager,Funds In,Funds Out,NTI,NTI Tax Rate (30%),State Share,Municipality Share
Reddick,1,3,61437.72,57230.44,4207.28,17569,13361.72,4207.28,1262.2,1051.84,210.36
Richmond,10,41,2577729.49,2381645.69,196083.8,793457,597372.99,196084.01,58825.6,49021.36,9804.24
Richton Park,7,29,1091802.96,993594.6,98208.36,387218,289011.02,98206.98,29462.32,24551.94,4910.38
Ridge Farm,1,4,165854.84,153869.66,11985.18,51639,39653.76,11985.24,3595.55,2996.3,599.25
Ridgway,2,9,452261.97,420337.22,31924.75,101773,69848.25,31924.75,9577.39,7981.17,1596.22
Ringwood,2,10,597240.36,553945.83,43294.53,190944,147649.47,43294.53,12988.46,10823.72,2164.74
River Grove,14,66,4368428.16,4017775.9,350652.26,1354620,1003968.08,350651.92,105196.22,87663.55,17532.67
Riverdale,1,5,313873.91,288514.54,25359.37,98637,73277.63,25359.37,7607.87,6339.89,1267.98
Riverton,5,25,1130361.98,1028694.13,101667.85,341996,240328.56,101667.44,30500.56,25417.13,5083.43
Roanoke,2,6,145965.52,133994.2,11971.32,41106,29134.68,11971.32,3591.48,2992.9,598.58
Robbins,3,13,546524.1,501818.96,44705.14,188385,143679.99,44705.01,13411.57,11176.31,2235.26
Roberts,2,5,58389.45,51881.38,6508.07,19559,13050.93,6508.07,1952.45,1627.04,325.41
Robinson,7,26,1099500.64,1017160.39,82340.25,308229,225889.2,82339.8,24702.23,20585.2,4117.03
Rochelle,13,57,3243797.63,2977738.46,266059.17,971049,704839.7,266209.3,79863.44,66552.89,13310.55
Rochester,4,16,565776.82,528242.54,37534.28,188084,150549.7,37534.3,11260.31,9383.6,1876.71
Rock City,1,5,191364.45,177254.77,14109.68,66581,52471.38,14109.62,4232.98,3527.49,705.49
Rock Falls,19,92,5061829.57,4659924.2,401905.37,1599612,1197706.3,401905.7,120572.39,100477,20095.39
Rock Island,18,71,3594937.71,3281935.57,313002.14,1071485,758311,313174,93952.86,78294.05,15658.81
Rockdale,7,27,1061612.21,977885.17,83727.04,330246,246519.02,83726.98,25118.29,20931.93,4186.36
Rockford,91,434,38905743.54,35853820.03,3051923.51,12328028,9276024.47,3052003.53,915605.87,763005.07,152600.8
Rockton,5,23,1161542.14,1064365.93,97176.21,368877,271700.69,97176.31,29153.07,24294.24,4858.83
Romeoville,14,67,4634656.58,4258603.11,376053.47,1357109,981055.68,376053.32,112816.68,94013.91,18802.77
Roodhouse,3,13,576854.21,529946.04,46908.17,185266,138357.83,46908.17,14072.51,11727.09,2345.42
Roscoe,15,72,7069216.18,6510801.74,558414.44,2095313,1536492.16,558820.84,167647.06,139705.92,27941.14
Roselle,9,43,3078078.48,2854900.26,223178.22,951744,728565.04,223178.96,66954.08,55795.07,11159.01
Roseville,3,11,103345.95,93073.54,10272.41,28483,18210.74,10272.26,3081.8,2568.18,513.62
Rosiclare,1,5,71792.46,64989.37,6803.09,23075,16271.86,6803.14,2040.99,1700.83,340.16
Rossville,1,3,877.73,887.01,-9.28,324,333.28,-9.28,-2.79,-2.32,-0.47
Round Lake,7,32,2471533.73,2299731.38,171802.35,702424,530621.5,171802.5,51541.08,42950.93,8590.15
Round Lake Beach,10,45,4013330.38,3689656.71,323673.67,1262957,939283.43,323673.57,97102.39,80918.68,16183.71
Round Lake Heights,3,15,2033203.19,1890346.1,142857.09,640133,497275.96,142857.04,42857.21,35714.36,7142.85
Round Lake Park,5,22,1162311.15,1065230.76,97080.39,367701,270620.83,97080.17,29124.31,24270.28,4854.03
Royal,1,3,51733.64,46661.66,5071.98,16837,11764.89,5072.11,1521.65,1268.04,253.61
Royalton,1,3,79021.19,71779.67,7241.52,20173,12931.63,7241.37,2172.47,1810.39,362.08
Ruma,1,3,58528.36,52435.85,6092.51,16715,10622.54,6092.46,1827.76,1523.14,304.62
Rushville,5,19,657793.82,608494.67,49299.15,184955,135655.85,49299.15,14789.95,12324.97,2464.98
Russellville,1,3,59642.38,54763.78,4878.6,14010,9131.41,4878.59,1463.57,1219.64,243.93
Sadorus,1,4,175198.36,155222.52,19975.84,57831,37855.45,19975.55,5992.71,4993.93,998.78
Sainte Marie,2,6,144770.03,131217.53,13552.5,44465,30912.5,13552.5,4065.76,3388.13,677.63
Salem,16,75,4185997.71,3884999.35,300998.36,1179073,878074.6,300998.4,90300.24,75250.23,15050.01
Sandoval,4,20,716785.18,654146.42,62638.76,216347,153708.62,62638.38,18791.66,15659.72,3131.94
Sandwich,7,30,969173.34,887722.99,81450.35,321796,240345.35,81450.65,24435.37,20362.82,4072.55
Sauget,4,18,1125906.77,1035378.25,90528.52,295366,204702.49,90663.51,27199.2,22666.02,4533.18
Sauk Village,1,5,249600.37,224478.23,25122.14,96173,71050.81,25122.19,7536.68,6280.57,1256.11
Saunemin,1,4,142830.29,131692.72,11137.57,61303,50165.43,11137.57,3341.31,2784.42,556.89
Savanna,11,42,1590738.61,1475560.53,115178.08,433321,318132.63,115188.37,34556.77,28797.33,5759.44
Savoy,5,21,1863754.02,1721240.44,142513.58,599589,457075.29,142513.71,42754.44,35628.71,7125.73
Saybrook,1,4,115799.09,108767.97,7031.12,33286,26254.7,7031.3,2109.47,1757.89,351.58
Scales Mound,1,4,90556.92,84149.45,6407.47,27558,21150.51,6407.49,1922.31,1601.92,320.39
Schiller Park,10,43,2078208.1,1921627.57,156580.53,605408,448827.08,156580.92,46974.59,39145.5,7829.09
Schram City,4,15,351892.64,323304.48,28588.16,121806,93218.05,28587.95,8576.52,7147.09,1429.43
Seneca,8,33,1055715.28,985445.09,70270.19,315924,245653.46,70270.54,21081.47,17567.91,3513.56
Sesser,5,21,458415.37,419480.68,38934.69,139632,100697.75,38934.25,11680.35,9733.64,1946.71
Shabbona,3,13,387271.42,354135.26,33136.16,122724,89588.01,33135.99,9940.88,8284.08,1656.8
Shannon,1,2,109170.52,101135.84,8034.68,37249,29214.32,8034.68,2410.43,2008.7,401.73
Shawneetown,1,5,127655.76,118815.17,8840.59,27016,18175.61,8840.39,2652.13,2210.11,442.02
Sheffield,2,5,86704.67,79867.42,6837.25,26013,19175.75,6837.25,2051.22,1709.36,341.86
Shelbyville,8,36,1399852.53,1292714.74,107137.79,397554,290415.42,107138.58,32142,26784.98,5357.02
Sheldon,2,8,219587.29,200876.53,18710.76,74944,56232.97,18711.03,5613.4,4677.83,935.57
Sheridan,2,8,380624.29,357581.61,23042.68,139251,116208.32,23042.68,6912.82,5760.68,1152.14
Sherman,6,23,1117260.25,1035466.72,81793.53,350915,269121.64,81793.36,24538.17,20448.49,4089.68
Sherrard,1,3,69567.84,63106.85,6460.99,20450,13989.01,6460.99,1938.3,1615.25,323.05
Shiloh,4,20,918604.08,846771.82,71832.26,258101,186268.86,71832.14,21549.82,17958.21,3591.61
Shipman,1,5,6506.54,5736.24,770.3,1938,1167.7,770.3,231.09,192.58,38.51
Sibley,1,3,74371.18,64763.02,9608.16,23074,13465.7,9608.3,2882.52,2402.1,480.42
Sidell,1,4,71217.05,66558.94,4658.11,18856,14197.89,4658.11,1397.45,1164.54,232.91
Sidney,1,4,216540.44,197227,19313.44,71710,52396.56,19313.44,5794.09,4828.41,965.68
Sigel,1,5,167037.28,160628.53,6408.75,56953,50544.02,6408.98,1922.74,1602.28,320.46
Silvis,9,43,2703928.82,2490305.93,213622.89,763266,549643.21,213622.79,64087.3,53406.12,10681.18
Smithboro,1,5,270739.18,252799.43,17939.75,76704,58764.25,17939.75,5382.02,4485.02,897
Smithton,3,13,442725.68,403980.13,38745.55,134715,95969.17,38745.83,11623.95,9686.63,1937.32
Somonauk,1,4,119469.38,111200.3,8269.08,32033,23763.92,8269.08,2480.79,2067.33,413.46
Sorento,1,4,130999.53,117740.18,13259.35,41179,27919.65,13259.35,3977.82,3314.85,662.97
South Beloit,10,50,5880916.55,5412752.69,468163.86,1685898,1217806.09,468091.91,140428.27,117023.55,23404.72
South Chicago Heights,7,32,2175044.62,2000265.39,174779.23,711313,536533.74,174779.26,52434.09,43695.09,8739
South Elgin,14,62,5492308.61,5053828.87,438479.74,1636538,1198010.9,438527.1,131558.72,109632.24,21926.48
South Jacksonville,5,23,1614383.83,1491431.98,122951.85,515947,392994.95,122952.05,36885.83,30738.21,6147.62
South Pekin,1,3,40526.55,36310.43,4216.12,13406,9189.88,4216.12,1264.82,1054.02,210.8
South Roxana,2,7,278816.17,251705.75,27110.42,84772,57661.73,27110.27,8133.13,6777.62,1355.51
South Wilmington,2,8,129801.49,121812.24,7989.25,43314,35324.78,7989.22,2396.77,1997.31,399.46
Southern View,5,25,2261278.02,2078578.29,182699.73,757688,574999.37,182688.63,54806.93,45672.45,9134.48
Sparta,6,29,1455753.86,1339658.67,116095.19,473537,357442,116095,34828.78,29024,5804.78
Spaulding,1,5,409942.36,375981.38,33960.98,121174,87213.11,33960.89,10188.29,8490.24,1698.05
Spring Grove,3,14,766316.97,695715.27,70601.7,256044,185442.24,70601.76,21180.68,17650.57,3530.11
Spring Valley,8,39,1330488.95,1221274.51,109214.44,426741,317526.43,109214.57,32764.66,27303.89,5460.77
Springfield,129,577,38827021.94,35901046.25,2925975.69,12447457,9521852.89,2925604.11,877686.34,731405.49,146280.85
St. Anne,2,6,132315.24,119997.18,12318.06,38430,26111.93,12318.07,3695.46,3079.55,615.91
St. Augustine,2,7,99555.62,89247.74,10307.88,34658,24350.07,10307.93,3092.46,2577.06,515.4
St. Charles,13,59,1955880.27,1807827.79,148052.48,637692,489639.36,148052.64,44416.09,37013.43,7402.66
St. David,2,5,133373.11,120744.45,12628.66,40141,27512.34,12628.66,3788.64,3157.19,631.45
St. Francisville,1,3,56532.45,52236.18,4296.27,15671,11374.75,4296.25,1288.89,1074.07,214.82
St. Jacob,1,5,71063.18,63592.34,7470.84,21643,14172.24,7470.76,2241.26,1867.72,373.54
St. Johns,2,9,327398.79,303197.6,24201.19,81621,57418.61,24202.39,7260.83,6050.69,1210.14
St. Joseph,2,9,480496.9,433555.49,46941.41,149017,102076.05,46940.95,14082.38,11735.31,2347.07
St. Libory,1,3,101051.99,95396.94,5655.05,31637,25982.24,5654.76,1696.44,1413.7,282.74
St. Peter,2,5,233451.41,217846.24,15605.17,56563,40957.83,15605.17,4681.57,3901.31,780.26
Standard,1,3,42068.55,37672.15,4396.4,11300,6903.6,4396.4,1318.94,1099.12,219.82
Stanford,1,3,22802.12,20818.32,1983.8,6687,4703.2,1983.8,595.12,495.93,99.19
Staunton,8,35,1247931.59,1155282.82,92648.77,368097,275449.06,92647.94,27794.71,23162.28,4632.43
Steeleville,3,15,830887.45,768411.76,62475.69,267135,204659.01,62475.99,18742.91,15619.1,3123.81
Steger,10,47,2946608.8,2714017.5,232591.3,921782,689136.25,232645.75,69794.03,58161.73,11632.3
Sterling,17,81,4092310.92,3745272.16,347038.76,1345356,998317.4,347038.6,104112.38,86760.35,17352.03
Steward,1,2,95475.12,85849.87,9625.25,29386,19760.75,9625.25,2887.6,2406.34,481.26
Stewardson,1,2,6355.78,5924.74,431.04,1928,1496.96,431.04,129.32,107.77,21.55
Stickney,5,25,1490802.81,1365450.04,125352.77,466664,341309.61,125354.39,37606.58,31338.82,6267.76
Stillman Valley,4,19,833514.41,764696.37,68818.04,290532,221713.97,68818.03,20645.56,17204.64,3440.92
Stockton,7,29,1085310.85,1004010.68,81300.17,314038,232691.07,81346.93,24404.38,20336.99,4067.39
Stone Park,8,36,2067702.72,1886623.29,181079.43,589199,408117.02,181081.98,54324.97,45270.83,9054.14
Stonington,1,4,135469.09,123661.54,11807.55,42920,31112.45,11807.55,3542.31,2951.93,590.38
Strasburg,2,8,214979.39,197174.78,17804.61,67751,49946.7,17804.3,5341.37,4451.14,890.23
Streamwood,10,48,4591313.47,4251565.83,339747.64,1349990,1010253.21,339736.79,101921.44,84934.51,16986.93
Streator,32,140,6289757.56,5811332.99,478424.57,1910606,1432210.14,478395.86,143519.97,119600,23919.97
Sublette,3,10,232968.19,212428.32,20539.87,73611,53071.1,20539.9,6162,5135.01,1026.99
Sugar Grove,2,8,228570.33,211605.12,16965.21,66339,49373.54,16965.46,5089.73,4241.44,848.29
Sullivan,6,26,902517.11,832692.11,69825,252893,183067.8,69825.2,20947.77,17456.48,3491.29
Summerfield,1,3,82275.59,75157.3,7118.29,29388,22269.71,7118.29,2135.53,1779.61,355.92
Summit,23,108,6947582.58,6362643.29,584939.29,2162733,1577738.24,584994.76,175499.41,146249.52,29249.89
Swansea,8,39,1923046.81,1766936.25,156110.56,580793,424681.78,156111.22,46833.62,39028.04,7805.58
Sycamore,11,50,3287840.99,3030933.13,256907.86,985101,728186.51,256914.49,77074.87,64229.07,12845.8
Symerton,1,2,154.88,82.19,72.69,73,0.31,72.69,21.81,18.18,3.63
Table Grove,2,6,76454.87,67648.57,8806.3,28520,19713.7,8806.3,2641.92,2201.61,440.31
Tallula,1,4,137308.22,126275.26,11032.96,48771,37738.08,11032.92,3309.91,2758.26,551.65
Tamaroa,1,3,95656.87,87367.87,8289,26922,18633.16,8288.84,2486.7,2072.25,414.45
Tampico,2,8,233831.65,210420.08,23411.57,90825,67413.43,23411.57,7023.64,5853.03,1170.61
Taylor Springs,3,12,251972.87,232365.14,19607.73,78200,58592.19,19607.81,5882.45,4902.05,980.4
Taylorville,25,114,4808223.1,4404895.64,403327.46,1518719,1115312.26,403406.74,121023.21,100852.68,20170.53
Teutopolis,5,20,1386847.95,1281169.51,105678.44,395598,289918.96,105679.04,31703.89,26419.91,5283.98
Thayer,1,3,66500.34,58948.09,7552.25,26604,19051.69,7552.31,2265.75,1888.12,377.63
Thebes,1,3,26112.45,23501.23,2611.22,6962,4350.78,2611.22,783.42,652.85,130.57
Third Lake,2,7,481186.45,448874.82,32311.63,138777,106465.41,32311.59,9693.53,8077.94,1615.59
Thomasboro,2,10,167317.81,151617.89,15699.92,54044,38344.08,15699.92,4710.04,3925.03,785.01
Thomson,2,7,200511.68,183907.44,16604.24,51836,35231.77,16604.23,4981.36,4151.13,830.23
Thornton,2,10,575417.56,535347.47,40070.09,175146,135075.93,40070.07,12021.09,10017.58,2003.51
Tilden,1,5,197320.45,184877.21,12443.24,73805,61361.76,12443.24,3733.04,3110.87,622.17
Tilton,5,25,2347717.8,2163644.89,184072.91,681139,497066.05,184072.95,55222.17,46018.49,9203.68
Tinley Park,25,116,7139255.09,6565058.02,574197.07,2079638,1505439.74,574198.26,172260.4,143550.37,28710.03
Tiskilwa,2,7,231740.71,215169.11,16571.6,78545,61973.4,16571.6,4971.52,4142.93,828.59
Toledo,2,10,324759.26,299697.63,25061.63,101312,76248.34,25063.66,7519.2,6266,1253.2
Tolono,5,22,773181.72,714492.74,58688.98,252596,193907.85,58688.15,17606.6,14672.17,2934.43
Toluca,4,16,510553.84,474296.41,36257.43,119384,83126.5,36257.5,10877.46,9064.54,1812.92
Tonica,1,4,108776.68,99317.47,9459.21,33376,23916.79,9459.21,2837.86,2364.88,472.98
Toulon,2,5,74833.29,67052.18,7781.11,24995,17213.73,7781.27,2334.4,1945.33,389.07
Tovey,1,5,456459.79,426886.46,29573.33,125699,96125.67,29573.33,8872.06,7393.38,1478.68
Towanda,1,5,239315.89,224232.59,15083.3,62996,47912.7,15083.3,4525.02,3770.85,754.17
Tremont,2,6,171004.71,153936.71,17068,52863,35796.03,17066.97,5120.18,4266.83,853.35
Trenton,3,12,553327.6,513086.07,40241.53,167654,127412.35,40241.65,12072.47,10060.41,2012.06
Troy,7,34,3290790.04,3039928.74,250861.3,926560,675580.66,250979.34,75293.97,62745,12548.97
Troy Grove,2,8,115555.94,106755.93,8800.01,37947,29146.99,8800.01,2639.97,2199.98,439.99
Tuscola,9,42,2075312.09,1907150.59,168161.5,634939,466781.64,168157.36,50447.71,42039.77,8407.94
Union,3,13,354602.34,325379.24,29223.1,120557,91333.93,29223.07,8767.09,7305.91,1461.18
University Park,3,13,680627.62,630941.55,49686.07,221319,171632.73,49686.27,14905.98,12421.65,2484.33
Urbana,21,100,8164702.36,7534382.61,630319.75,2834617,2204296.53,630320.47,189097.03,157580.89,31516.14
Ursa,2,5,41478.14,38044.61,3433.53,12427,8993.7,3433.3,1030.07,858.39,171.68
Valmeyer,1,3,20232.45,19609.15,623.3,6537,5913.7,623.3,187.05,155.88,31.17
Vandalia,15,73,4449866.14,4109249.14,340617,1247354,905940.04,341413.96,102424.77,85354.01,17070.76
Venedy,1,4,73831.13,65045.78,8785.35,22453,13667.62,8785.38,2635.68,2196.4,439.28
Venice,2,7,122616.29,109466.01,13150.28,44354,31203.59,13150.41,3945.18,3287.66,657.52
Vermont,2,5,68105.74,62057.25,6048.49,23749,17700.51,6048.49,1814.55,1512.13,302.42
Victoria,1,4,168053.67,153473.84,14579.83,43408,28825.53,14582.47,4374.77,3645.64,729.13
Vienna,3,14,493531.81,460232.31,33299.5,133645,100345.4,33299.6,9989.95,8324.95,1665
Villa Grove,3,13,457662.97,421443.28,36219.69,153527,117376.41,36150.59,10845.32,9037.78,1807.54
Villa Park,18,84,6903443.78,6368509.34,534934.44,2038910,1503974.89,534935.11,160481.12,133734.28,26746.84
Viola,1,3,34437.51,32152.63,2284.88,11293,9008.12,2284.88,685.5,571.26,114.24
Virden,5,19,658792.59,595966.23,62826.36,192344,129517.54,62826.46,18848.17,15706.82,3141.35
Virgil,1,3,104810.76,97385.19,7425.57,32754,25328.43,7425.57,2227.69,1856.4,371.29
Virginia,4,15,830012.83,769360.58,60652.25,248670,188015.15,60654.85,18196.62,15163.85,3032.77
Wadsworth,11,55,7067563,6495220.41,572342.59,2387724,1815032.06,572691.94,171808.23,143173.54,28634.69
Walnut,2,6,245369.43,228914.94,16454.49,86578,70123.51,16454.49,4936.4,4113.66,822.74
Walnut Hill,2,10,518601.14,473203.85,45397.29,148593,103195.71,45397.29,13619.17,11349.31,2269.86
Wamac,3,15,730200.79,663526.03,66674.76,206263,139982.32,66280.68,19884.44,16570.39,3314.05
Wapella,3,14,496601.22,451470.43,45130.79,158610,113479.5,45130.5,13539.37,11282.81,2256.56
Warren,3,11,393964.67,363593.39,30371.28,99945,69573.56,30371.44,9111.54,7592.95,1518.59
Warrensburg,1,5,219523.52,202408.86,17114.66,62090,44975.55,17114.45,5134.38,4278.65,855.73
Warsaw,1,3,123715.57,113809.49,9906.08,33743,23836.92,9906.08,2971.88,2476.57,495.31
Washburn,1,4,76327.62,67916.19,8411.43,23626,15214.57,8411.43,2523.43,2102.86,420.57
Washington,10,41,1605932.18,1462807.52,143124.66,486274,343148.95,143125.05,42938.04,35781.72,7156.32
Washington Park,2,10,573002.56,530437.57,42564.99,209888,167324.92,42563.08,12768.99,10640.82,2128.17
Wataga,2,7,238092.63,224261.86,13830.77,71525,57694.23,13830.77,4149.28,3457.74,691.54
Waterloo,9,37,2533987.17,2343927.87,190059.3,668728,478668.66,190059.34,57018.2,47515.17,9503.03
Waterman,2,7,175253.24,159558.14,15695.1,58081,42385.77,15695.23,4708.65,3923.87,784.78
Watseka,8,36,1036584.11,952048.69,84535.42,339835,255299.48,84535.52,25361,21134.18,4226.82
Wauconda,15,73,4527786.59,4184936.24,342850.35,1328506,985654.89,342851.11,102855.91,85713.29,17142.62
Waukegan,53,254,23828953.05,21968732.45,1860220.6,8195317,6335304.73,1860012.27,558006.15,465005.2,93000.95
Waverly,3,11,540676.27,491809.92,48866.35,190906,142039.65,48866.35,14660.02,12216.7,2443.32
Waynesville,1,3,44035.46,42151.04,1884.42,14414,12529.58,1884.42,565.4,471.16,94.24
Wenona,5,23,696728.02,644901.21,51826.81,222051,170224.19,51826.81,15548.17,12956.81,2591.36
West Brooklyn,2,7,223243.73,204777.68,18466.05,68444,49977.95,18466.05,5539.87,4616.56,923.31
West City,2,10,812687.91,743456.93,69230.98,204587,135355.9,69231.1,20769.38,17307.81,3461.57
West Dundee,6,21,631895.79,584752.46,47143.33,220308,173165.28,47142.72,14142.96,11785.81,2357.15
West Frankfort,7,29,1661154.85,1541174.07,119980.78,458839,338857.77,119981.23,35994.63,29995.53,5999.1
West Peoria,12,49,2475197.93,2285727.19,189470.74,820892,631418.03,189473.97,56842.61,47368.85,9473.76
Westchester,4,20,2942477.02,2712174.62,230302.4,922838,692536.35,230301.65,69090.74,57575.63,11515.11
Westmont,13,62,8091213.35,7488091.79,603121.56,2294783,1691661.43,603121.57,180937.21,150781.05,30156.16
Westville,6,29,1396506.48,1280880.87,115625.61,431723,316098.67,115624.33,34687.5,28906.25,5781.25
Wheeling,13,56,5155248.82,4722181.18,433067.64,1645323,1212237.66,433085.34,129926.16,108271.83,21654.33
White Hall,3,12,265838.7,243974.4,21864.3,73454,51589.45,21864.55,6559.39,5466.16,1093.23
Will County,25,108,4521251.48,4150934.53,370316.95,1398090,1027793.51,370296.49,111089.84,92574.88,18514.96
Williamson,1,5,191155.55,180554.72,10600.83,56364,45763.17,10600.83,3180.31,2650.26,530.05
Williamsville,2,8,720971.41,668266.92,52704.49,199343,146628.71,52714.29,15814.34,13178.62,2635.72
Willisville,2,8,205170.3,190020.25,15150.05,59743,44592.76,15150.24,4545.11,3787.6,757.51
Willow Springs,3,14,395509.6,357558.58,37951.02,132876,94924.95,37951.05,11385.55,9487.97,1897.58
Willowbrook,4,20,926310.26,849650.69,76659.57,287636,210975.37,76660.63,22998.4,19165.33,3833.07
Wilmington (Will),9,39,1742131.89,1594294.93,147836.96,495572,347754.34,147817.66,44345.78,36954.84,7390.94
Wilsonville,2,7,95373.61,86165.93,9207.68,29866,20658.32,9207.68,2762.34,2301.95,460.39
Winchester,3,13,633557.29,574199.08,59358.21,201027,141668.58,59358.42,17807.63,14839.7,2967.93
Windsor (Mercer),1,2,37908.13,33980.09,3928.04,10497,6569.22,3927.78,1178.35,981.96,196.39
Windsor (Shelby),3,11,337375.65,309373.03,28002.62,112807,84804.41,28002.59,8400.89,7000.73,1400.16
Winslow,1,3,77967.09,71832.44,6134.65,26397,20262.1,6134.9,1840.52,1533.76,306.76
Winthrop Harbor,9,41,3699258.22,3436602,262656.22,1122722,860066.6,262655.4,78797.03,65664.19,13132.84
Witt,1,3,96909.11,89015.62,7893.49,30116,22222.51,7893.49,2368.09,1973.41,394.68
Wood Dale,9,41,2669899.12,2457177.31,212721.81,811970,599247.57,212722.43,63817.18,53180.99,10636.19
Wood River,13,56,3593785.99,3344387.48,249398.51,996194,746795.46,249398.54,74819.97,62349.99,12469.98
Woodhull,3,13,1105384.98,1023943.73,81441.25,299448,217881.88,81566.12,24469.94,20391.62,4078.32
Woodridge,5,21,1008624.78,925890.17,82734.61,319760,237026.79,82733.21,24820.13,20683.44,4136.69
Woodson,1,5,230017.2,213123.7,16893.5,65831,48937.37,16893.63,5068.13,4223.44,844.69
Woodstock,22,99,5477712.94,5027588.14,450124.8,1804866,1354741.26,450124.74,135038.2,112531.9,22506.3
Worden,1,3,126995.05,115327.75,11667.3,33058,21390.6,11667.4,3500.24,2916.87,583.37
Worth,13,61,5023800.02,4642104.71,381695.31,1489886,1108190.52,381695.48,114509.29,95424.41,19084.88
Wyanet,1,5,161600.27,148307.51,13292.76,48732,35439.24,13292.76,3987.94,3323.29,664.65
Wyoming,2,8,248230.11,231719.2,16510.91,74471,57960.18,16510.82,4953.31,4127.76,825.55
Yates City,2,7,255735.26,233880.89,21854.37,73462,51607.68,21854.32,6556.3,5463.58,1092.72
Yorkville,14,64,2476467.89,2269631.55,206836.34,771580,564742.92,206837.08,62051.79,51709.85,10341.94
Zeigler,2,7,266081.16,250373.57,15707.59,68536,52828.41,15707.59,4712.35,3926.96,785.39
Zion,6,29,3560880.55,3279514.3,281366.25,1188803,907436.85,281366.15,84410.28,70341.9,14068.38
