"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","I've had my share of ups &amp; downs, times when there was no one around...",FALSE,32696,NA,2017-04-18 14:43:48,FALSE,NA,"854344719480086533",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","chancetherapper",16050,FALSE,FALSE,NA,NA
"2","<ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B2><U+00AF>

https://t.co/QvMTHvR85A",FALSE,11925,NA,2017-04-17 22:25:39,FALSE,NA,"854098559410548737",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","chancetherapper",1966,FALSE,FALSE,NA,NA
"3","I can't thank you all enough.",FALSE,27746,NA,2017-04-17 18:54:57,FALSE,NA,"854045536516747265",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","chancetherapper",3059,FALSE,FALSE,NA,NA
"4","Beautiful win tonight @chicagobulls It's been a great day. #chancethebirthday",FALSE,10621,NA,2017-04-17 03:28:01,FALSE,NA,"853812263706382337",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","chancetherapper",1520,FALSE,FALSE,NA,NA
"5","Love you man Thanks for everything https://t.co/WTerwhAhN2",FALSE,2459,NA,2017-04-17 02:52:06,FALSE,NA,"853803224431722498",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","chancetherapper",132,FALSE,FALSE,NA,NA
"6","Nothin like Chicago https://t.co/mR4hJz2mah",FALSE,22432,NA,2017-04-17 00:35:43,FALSE,NA,"853768905529208832",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","chancetherapper",4403,FALSE,FALSE,NA,NA
"7","First 2 points of my birthday thank you @JimmyButler",FALSE,5704,NA,2017-04-16 22:44:03,FALSE,NA,"853740802400563203",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","chancetherapper",630,FALSE,FALSE,NA,NA
"8","Just completed my lifelong goal of doin the birthday song on @WGCI Honestly yall should bring that back. And play mines 15 more times today",FALSE,5016,NA,2017-04-16 22:26:32,FALSE,NA,"853736395038486528",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","chancetherapper",733,FALSE,FALSE,NA,NA
"9","I DID THE GCI BIRTHDAY SONG TURN ON @WGCI RIGHT NOW",FALSE,2478,NA,2017-04-16 22:04:01,FALSE,NA,"853730727409721345",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","chancetherapper",278,FALSE,FALSE,NA,NA
"10",".@TreyWhite3 do u know the GCI birthday song https://t.co/bdNV0eYJdo",FALSE,669,NA,2017-04-16 22:00:27,FALSE,NA,"853729828079534081",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","chancetherapper",45,FALSE,FALSE,NA,NA
"11","<ed><U+00A0><U+00BD><ed><U+00B2><U+00AF><ed><U+00A0><U+00BD><ed><U+00B2><U+00AF> love yall https://t.co/Sqt8mm00hR",FALSE,1048,NA,2017-04-16 21:55:56,FALSE,NA,"853728692907986944",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","chancetherapper",108,FALSE,FALSE,NA,NA
"12","Who's that on the birthday line? It's me... please pick up @WGCI",FALSE,2510,NA,2017-04-16 21:55:25,FALSE,NA,"853728562016391170",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","chancetherapper",288,FALSE,FALSE,NA,NA
"13","I was just on the phone for 15 mins tryna call into @WGCI to get them to do the Birthday song with me @seanmackradio please pick up",FALSE,1710,NA,2017-04-16 21:54:58,FALSE,NA,"853728449575387136",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","chancetherapper",152,FALSE,FALSE,NA,NA
"14","#CHANCETHEBIRTHDAY",FALSE,32927,NA,2017-04-16 21:36:11,FALSE,NA,"853723722204819456",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","chancetherapper",10424,FALSE,FALSE,NA,NA
"15","THANK YOU ELLEN LOVE YOU https://t.co/bCxdHRzWEX",FALSE,29965,NA,2017-04-16 18:59:37,FALSE,NA,"853684322955657216",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","chancetherapper",3022,FALSE,FALSE,NA,NA
"16","Love yall HBD KYLE!! https://t.co/V2e7zUq7Zh",FALSE,2276,NA,2017-04-16 18:58:15,FALSE,NA,"853683979018420224",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","chancetherapper",124,FALSE,FALSE,NA,NA
"17","My only brother Taylor Bennett made me this song for my birthday and brought me to tears. https://t.co/NE4DBuH5Qe",FALSE,26448,NA,2017-04-16 17:36:43,FALSE,NA,"853663456888750083",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","chancetherapper",10166,FALSE,FALSE,NA,NA
"18","Me and Kens looking like red carpet fresh on this beautiful #ResurrectionSunday",FALSE,10924,NA,2017-04-16 15:34:12,FALSE,NA,"853632627282235394",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","chancetherapper",1109,FALSE,FALSE,NA,NA
"19","Why do you look for the living among the dead. He is not here.",FALSE,101026,NA,2017-04-16 12:28:12,FALSE,NA,"853585816572100608",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","chancetherapper",42161,FALSE,FALSE,NA,NA
"20","Me and my mom just watched this together. Thank you Chicago &amp; thank you @TheRoot https://t.co/AeRHz3aPOT",FALSE,13163,NA,2017-04-14 20:52:48,FALSE,NA,"852988030428348416",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","chancetherapper",3021,FALSE,FALSE,NA,NA
"21","My God's plans for me go beyond my wildest dreams.",FALSE,109759,NA,2017-04-13 18:16:19,FALSE,NA,"852586262418649089",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","chancetherapper",75573,FALSE,FALSE,NA,NA
"22","My God is big",FALSE,158774,NA,2017-04-13 12:22:48,FALSE,NA,"852497294230507521",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","chancetherapper",96632,FALSE,FALSE,NA,NA
"23","Charlie Murphy was a great man. God bless, we already miss you.",FALSE,57672,NA,2017-04-12 17:22:50,FALSE,NA,"852210414012203010",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","chancetherapper",27495,FALSE,FALSE,NA,NA
"24","#chancethebirthday https://t.co/iECQFj6hzF",FALSE,16698,NA,2017-04-12 15:34:14,FALSE,NA,"852183084971814913",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","chancetherapper",3025,FALSE,FALSE,NA,NA
"25","<ed><U+00A0><U+00BD><ed><U+00B8><U+008D> https://t.co/QohwkLP5EH",FALSE,2989,NA,2017-04-09 17:15:11,FALSE,NA,"851121324214951937",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","chancetherapper",209,FALSE,FALSE,NA,NA
"26","This shouldn't be as funny as it is https://t.co/Nbe3M83cTX",FALSE,103643,NA,2017-04-09 03:17:28,FALSE,NA,"850910507582332929",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","chancetherapper",32858,FALSE,FALSE,NA,NA
"27","#mcw2",FALSE,6110,NA,2017-04-08 22:37:07,FALSE,NA,"850839952653000704",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","chancetherapper",1332,FALSE,FALSE,NA,NA
"28","I put the remaining Chicago #MCW2 reservations on https://t.co/8rOIFuczrj #resaleproof",FALSE,2436,NA,2017-04-07 23:33:16,FALSE,NA,"850491696412585985",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","chancetherapper",425,FALSE,FALSE,NA,NA
"29","#MCW2 in Chicago this Sat. I'm only sending invites to the folks who know all the words. Check your emails tmw AM. @SoundCloud",FALSE,7580,NA,2017-04-06 22:37:30,FALSE,NA,"850115275001344000",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","chancetherapper",1501,FALSE,FALSE,NA,NA
"30","I'm praying that I could get just one person from @netflix to come to Chicago for the next two days",FALSE,14695,NA,2017-04-06 21:27:16,FALSE,NA,"850097600850268164",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","chancetherapper",1784,FALSE,FALSE,NA,NA
